species_id,common_name,scientific_name
columbiasp,Columbia Spotted Frog,Rana luteiventris
longtoedsa,Long-toed Salamander,Ambystoma macrodactylum
nwsalamand,Northwestern Salamander,Ambystoma gracile
redleggedf,Red-legged Frog,Rana aurora
roughskinn,Rough-skinned Newt,Taricha granulosa
westerntoa,Western Toad,Anaxyrus boreas
woodfrog,Wood Frog,Lithobates sylvaticus
ag_squirel,Arctic Ground Squirrel,Urocitellus parryii
ak_hare,Alaskan Hare,Lepus othus
ak_marmot,Alaska Marmot,Marmota broweri
aktny_shrw,Alaskan Tiny Shrew,Sorex yukonicus
alxdr_wolf,Alexander Archipelago Wolf,Canis lupus ligoni
amwtr_shrw,American Water Shrew,Sorex palustris
arctic_fox,Arctic Fox,Vulpes lagopus
bargd_shrw,Barren Ground Shrew,Sorex ugyunak
beard_seal,Bearded Seal,Erignathus barbatus
bt_woodrat,Bushy-tailed Woodrat,Neotoma cinerea
ca_myotis,California Myotis,Myotis californicus
ciner_shrw,Cinereus Shrew,Sorex cinereus
colard_pik,Collared Pika,Ochotona collaris
dusky_shrw,Dusky Shrew,Sorex monticolus
harbr_seal,Harbor Seal,Phoca vitulina
hry_marmot,Hoary Marmot,Marmota caligata
keen_mytis,Keen's Myotis,Myotis keenii
lgtail_vol,Long-tailed Vole,Microtus longicaudus
lilb_mytis,Little Brown Myotis,Myotis lucifugus
lole_mytis,Long-legged Myotis,Myotis volans
meadow_vol,Meadow Vole,Microtus pennsylvanicus
mjmp_mouse,Meadow Jumping Mouse,Zapus hudsonius
n_fur_seal,Callorhinus ursinus,Northern Fur Seal
nbog_lemng,Northern Bog Lemming,Synaptomys borealis
nbrn_lemng,Nearctic Brown Lemming,Lemmus trimucronatus
ncol_lemng,Nelson's Collared Lemming,Dicrostonyx nelsoni
nfl_squirl,Northern Flying Squirrel,Glaucomys sabrinus
nrdbck_vol,Northern Red-backed Vole,Clethrionomys rutilus
nw_dermous,Northwestern Deer Mouse,Peromyscus keeni
pac_walrus,Pacific Walrus,Odobenus rosmarus divergens
pahbr_seal,Pacific Harbor Seal,Phoca vitulina richardii
polar_bear,Polar Bear,Ursus maritimus
pygmy_shrw,Pygmy Shrew,Sorex hoyi
red_squirl,Red Squirrel,Tamiasciurus hudsonicus
ringd_seal,Ringed Seal,Pusa hispida
root_vole,Root Vole,Microtus oeconomus
sihair_bat,Silver-haired Bat,Lasionycteris noctivagans
sing_vole,Singing Vole,Microtus miurus
